Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural raw materials exports (% of merchandise exports) [TX.VAL.AGRI.ZS.UN],Average time to clear exports through customs (days) [IC.CUS.DURS.EX],Insurance and financial services (% of commercial service exports) [TX.VAL.INSF.ZS.WT],"International tourism, receipts (% of total exports) [ST.INT.RCPT.XP.ZS]",Profit tax (% of commercial profits) [IC.TAX.PRFT.CP.ZS]
2015,YR2015,United Kingdom,GBR,13.0409622618113,0.586423812858375,..,27.7815645360978,..,19.2
2016,YR2016,Afghanistan,AFG,1.85278199408184,16.3591093829042,..,4.56187436328079,5.45768303162904,0
2016,YR2016,Australia,AUS,17.4254877132405,3.16692468528045,..,5.39414691235552,15.5675598819195,26
2016,YR2016,China,CHN,22.6304979330458,0.441975763216694,..,3.49336363824825,..,10.8
2016,YR2016,Finland,FIN,73.7356454213418,7.54880083514058,..,2.00001414281765,4.79465495082585,11.7
2016,YR2016,France,FRA,30.8997967334908,0.947032111629837,..,7.98801548538285,8.14435872856881,0.2
2016,YR2016,India,IND,23.9118253458407,1.5373233001934,..,4.47114693817744,5.36923837205765,23.5
2016,YR2016,Indonesia,IDN,50.7434545269582,4.82024866368512,..,1.83809457029683,7.48897480226927,20
2016,YR2016,Japan,JPN,68.4224965706447,0.738581469977703,..,8.17723957960082,4.12261250156936,26.3
2016,YR2016,Pakistan,PAK,5.01795350767954,1.02075866850769,..,4.74742221755618,2.94016820962849,18.4
2016,YR2016,United Arab Emirates,ARE,4.46775556181357,0.0850474591658725,..,..,..,0
2016,YR2016,United States,USA,33.8997225447175,2.2932690995558,..,17.5129110851589,10.199328461316,28.1
2016,YR2016,United Kingdom,GBR,13.0574959699087,0.592020672484885,..,27.6239470674015,..,18.3
2017,YR2017,Afghanistan,AFG,1.85278199408184,17.0636339372427,..,1.97211606531187,1.38780942154529,0
2017,YR2017,Australia,AUS,17.4229136169693,2.99020531601444,..,5.62230372694383,14.8275058878689,26
2017,YR2017,China,CHN,22.8307068120547,0.417099067654216,..,3.54485628020329,..,11.3
2017,YR2017,Finland,FIN,73.7332192682285,7.43435778398756,..,1.47142347319523,5.42268410416325,11.7
2017,YR2017,France,FRA,31.0521096433796,0.970317568276113,..,7.43642956157223,8.11275566007721,1
2017,YR2017,India,IND,24.0014260777145,1.51484254623607,..,3.76046571297752,5.69635226464623,23.5
2017,YR2017,Indonesia,IDN,50.0393338229866,5.99029974302901,..,2.92903363930302,7.56448547148604,18.2
2017,YR2017,Japan,JPN,68.4087791495199,0.728108870436085,..,6.98940720042194,4.22357825807153,24.7
2017,YR2017,Pakistan,PAK,4.99418845994188,1.09517782673276,..,4.4449975997013,2.93305447275548,18.3
2017,YR2017,United Arab Emirates,ARE,4.46775556181357,0.103699912626723,..,..,..,0
2017,YR2017,United States,USA,33.8669264120375,2.28760063212961,..,18.4341244378013,9.76238234904741,27.9
2017,YR2017,United Kingdom,GBR,13.0781631050304,0.544383238678857,..,26.7235628650949,..,18.1
2018,YR2018,Afghanistan,AFG,1.85278199408184,16.6945994747216,..,0.818658839062439,3.1066088353063,0
2018,YR2018,Australia,AUS,17.4213145571644,2.88539371871431,..,5.60843630419286,14.4672862756115,26
2018,YR2018,China,CHN,23.0309121760165,0.419092383217946,..,3.56414439074855,..,11.8
2018,YR2018,Finland,FIN,73.7332192682285,7.85993545275118,..,1.56593011723015,5.43534699742672,11.9
2018,YR2018,France,FRA,31.2044225532684,0.918611286841535,..,7.94249156894778,7.91958596534964,0.3
2018,YR2018,India,IND,24.0910268095884,1.56952575353611,..,3.92161132082589,5.42657307048889,21.7
2018,YR2018,Indonesia,IDN,49.7168177792076,5.09433381886317,..,2.69209653180611,8.45318976671233,18.1
2018,YR2018,Japan,JPN,68.4087791495199,0.682767992794068,..,7.23096680546053,4.86928999618968,24
2018,YR2018,Pakistan,PAK,4.94056143628061,0.953789253837377,..,3.96175416250434,2.74574498885293,18.2
2018,YR2018,United Arab Emirates,ARE,4.46775556181357,0.099312163983083,..,..,..,0
2018,YR2018,United States,USA,33.8669264120375,2.23298346824415,..,18.4240479764386,9.51771493660271,27.9
2018,YR2018,United Kingdom,GBR,13.1153639482495,0.488454454650047,..,26.7108968524367,..,17.3
2019,YR2019,Afghanistan,AFG,1.85278199408184,21.0350603345276,..,0.795854350914754,5.60775255799417,0
2019,YR2019,Australia,AUS,17.4213145571644,2.10586306694383,..,5.48808132787067,14.013765727157,26.1
